epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,434.458,0.53901,0.9766,0.53736,0.88899,0.84243,0.62293,0.70922,0.51879,0.82174,0.63333,0.73225,0.50237,1.04658,2.26831,1.03532,1.16343,0.000462259,0.000462259,0.000462259
75,440.28,0.55921,0.9603,0.5056,0.89814,0.92052,0.59201,0.70827,0.52454,0.81414,0.68111,0.72485,0.4955,1.04774,2.51542,1.01049,1.14766,0.000445756,0.000445756,0.000445756
76,446.051,0.55274,0.88061,0.50521,0.90103,0.8453,0.65333,0.72424,0.53854,0.86519,0.75667,0.79294,0.49916,1.06127,2.60434,1.04241,1.16834,0.000429253,0.000429253,0.000429253
77,451.821,0.55864,0.96118,0.50843,0.90252,0.90041,0.61759,0.71502,0.51349,0.9312,0.63458,0.77084,0.48827,1.09808,2.63299,1.00655,1.22902,0.000412749,0.000412749,0.000412749
78,457.769,0.56442,0.95726,0.50611,0.90107,0.85699,0.59778,0.69907,0.49848,0.88074,0.61778,0.75079,0.46302,1.09118,2.66794,1.10303,1.24623,0.000396246,0.000396246,0.000396246
79,463.482,0.54032,0.92879,0.47434,0.88645,0.84145,0.57462,0.71765,0.52812,0.79487,0.63777,0.77004,0.49055,1.12109,2.52972,1.16051,1.25761,0.000379743,0.000379743,0.000379743
80,469.378,0.5207,0.93264,0.46586,0.88283,0.69726,0.70889,0.73269,0.53884,0.82482,0.70111,0.788,0.49924,1.13811,2.6795,1.1137,1.2564,0.000363239,0.000363239,0.000363239
81,475.21,0.50883,0.93717,0.4808,0.88001,0.73454,0.68111,0.71422,0.53108,0.79456,0.69594,0.77103,0.50049,1.11224,2.56595,1.13726,1.26501,0.000346736,0.000346736,0.000346736
82,480.988,0.53689,0.94731,0.47762,0.88432,0.77301,0.6691,0.72254,0.52665,0.81234,0.70761,0.7801,0.4928,1.14778,2.43724,1.09952,1.28636,0.000330233,0.000330233,0.000330233
83,486.771,0.51972,0.93878,0.46316,0.88104,0.78955,0.68111,0.73228,0.52035,0.89933,0.64409,0.75354,0.48845,1.15285,2.44492,1.10052,1.31533,0.000313729,0.000313729,0.000313729
84,492.547,0.5233,0.87021,0.46096,0.88347,0.78383,0.69592,0.76269,0.53058,0.80396,0.71554,0.78326,0.50178,1.21583,2.45974,1.04995,1.36534,0.000297226,0.000297226,0.000297226
85,498.387,0.52501,0.93429,0.45208,0.87472,0.92338,0.57778,0.72321,0.534,0.89927,0.65291,0.76113,0.49875,1.18192,2.56922,1.00805,1.3318,0.000280723,0.000280723,0.000280723
86,504.223,0.5125,0.88915,0.44862,0.87172,0.92245,0.57778,0.70848,0.51778,0.95629,0.65762,0.7862,0.50522,1.17802,2.59177,1.00154,1.32387,0.00026422,0.00026422,0.00026422
87,510.011,0.47767,0.86638,0.42037,0.87401,0.91927,0.59625,0.71319,0.53751,0.93469,0.63778,0.78764,0.49905,1.13362,2.57069,1.0249,1.32953,0.000247716,0.000247716,0.000247716
88,515.804,0.49137,0.87328,0.43657,0.87705,0.92826,0.59778,0.7115,0.55466,0.92826,0.59778,0.74832,0.50344,1.12056,2.57659,1.04786,1.31088,0.000231213,0.000231213,0.000231213
89,521.524,0.49501,0.8605,0.44159,0.88398,0.92992,0.59778,0.72565,0.53312,0.84782,0.67333,0.75758,0.49906,1.1388,2.57817,1.04411,1.30723,0.00021471,0.00021471,0.00021471
90,527.387,0.50943,0.87054,0.43095,0.8851,0.93397,0.59721,0.73414,0.53839,0.88248,0.69486,0.79652,0.50236,1.13535,2.59302,1.0819,1.31159,0.000198206,0.000198206,0.000198206
91,533.972,0.42294,0.84512,0.41116,0.86122,0.88578,0.64927,0.75298,0.54703,0.86136,0.72889,0.80352,0.50949,1.0772,2.60334,1.00116,1.23763,0.000181703,0.000181703,0.000181703
92,539.697,0.41531,0.77184,0.37369,0.837,0.71374,0.73374,0.74867,0.55528,0.81435,0.72889,0.79791,0.51559,1.03058,2.50054,0.96146,1.18191,0.0001652,0.0001652,0.0001652
93,545.369,0.41672,0.79301,0.37923,0.84627,0.91659,0.59586,0.74816,0.55596,0.76373,0.74889,0.80587,0.50649,1.024,2.51817,0.95526,1.19225,0.000148696,0.000148696,0.000148696
94,550.956,0.41159,0.78872,0.37733,0.843,0.7879,0.64556,0.74585,0.55507,0.77576,0.74549,0.79881,0.50654,1.04775,2.61165,1.01261,1.21576,0.000132193,0.000132193,0.000132193
95,556.566,0.41431,0.76383,0.36974,0.8416,0.84517,0.64556,0.74481,0.54245,0.77637,0.71618,0.80355,0.50605,1.04578,2.64944,1.01365,1.22181,0.00011569,0.00011569,0.00011569
96,562.105,0.39774,0.77988,0.35227,0.82601,0.85891,0.66353,0.74648,0.54523,0.82231,0.79667,0.82199,0.51152,1.05652,2.62975,1.02094,1.24879,9.91865e-05,9.91865e-05,9.91865e-05
97,567.675,0.39067,0.77744,0.35561,0.83605,0.86572,0.66792,0.74623,0.54962,0.87711,0.79667,0.82556,0.50798,1.05652,2.60729,1.01298,1.24786,8.26832e-05,8.26832e-05,8.26832e-05
98,573.245,0.3984,0.75812,0.35588,0.82816,0.9053,0.64269,0.74277,0.54753,0.88404,0.76889,0.82001,0.50995,1.05689,2.60507,0.99552,1.26691,6.61799e-05,6.61799e-05,6.61799e-05
99,578.78,0.38197,0.75933,0.35728,0.82636,0.89779,0.64086,0.74422,0.54458,0.83878,0.77737,0.81854,0.51194,1.07115,2.6111,1.00117,1.29576,4.96766e-05,4.96766e-05,4.96766e-05
100,584.295,0.37436,0.71938,0.34404,0.83042,0.90062,0.64431,0.74252,0.54927,0.82113,0.77268,0.81388,0.51438,1.05799,2.60761,1.03099,1.28877,3.31733e-05,3.31733e-05,3.31733e-05
